Order Number,CustomerID,Sales Channel,Order Date,Order Shipping Country,Order Items Gross,Order Shipping Gross GBP,Order Gross Total GBP,Order Net Total GBP,Order Status,Order Shipping Service,Order Discount Code
#0011648,2888,Gymshark USA Shopify Store,19/06/2018,United States,34.66,11.3,45.96,45.96,Billed,Failed Shipment Mapping,
#0013241,2889,Gymshark UK Shopify Store,19/11/2018,United Kingdom,72,0,72,60,Billed,Standard (2 Working Days),
#0005325,2890,Gymshark UK Shopify Store,12/03/2018,United Kingdom,20,4,24,20,Billed,Standard (3-5 Working Days),
#0001485,2890,Gymshark UK Shopify Store,09/03/2019,United Kingdom,15,4,19,15.83,Billed,Standard (2 Working Days),
#0012208,2890,Gymshark UK Shopify Store,09/05/2019,United Kingdom,20,4,24,20,Billed,Standard (2 Working Days),
#0007256,2891,Gymshark ROW Shopify Store,19/11/2018,Netherlands,31.63,7.02,38.65,31.95,Billed,Standard (7-14 Working Days),
#0000379,2892,Gymshark UK Shopify Store,18/08/2018,United Kingdom,68,0,68,56.66,Billed,Next Working Day,
#0004530,2894,Gymshark USA Shopify Store,14/07/2018,United States,0,0,0,0,Billed,Failed Shipment Mapping,FAULTY
#0010849,2895,Gymshark USA Shopify Store,24/08/2018,United States,34.96,11.65,46.61,46.61,Billed,Failed Shipment Mapping,
#0005747,2896,Gymshark USA Shopify Store,03/09/2016,United States,0,7.61,7.61,7.61,fulfilled,Shipping,
#0014214,2898,Gymshark USA Shopify Store,19/02/2019,United States,132.55,0,132.55,132.55,Billed,Express (1-3 Working Days),
#0003309,2899,Gymshark FIN Shopify Store,19/11/2018,Finland,210.61,0,210.61,169.84,Billed,Standard (4-7 Working Days),
#0005069,2901,Gymshark UK Shopify Store,04/04/2017,United Kingdom,22.61,4,26.61,22.18,fulfilled,Standard (3-5 Working Days),SAVEFIVE
#0014282,2901,Gymshark UK Shopify Store,20/08/2017,United Kingdom,32,6,38,31.67,fulfilled,Next Working Day,
#0005827,2901,Gymshark UK Shopify Store,18/01/2018,United Kingdom,73.8,0,73.8,61.51,Billed,Standard (3-5 Working Days),AFF10VCJAN
#0006050,2901,Gymshark UK Shopify Store,13/02/2018,United Kingdom,38,0,38,31.67,Billed,Standard (3-5 Working Days),
#0007780,2901,Gymshark UK Shopify Store,28/03/2018,United Kingdom,36.8,0,36.8,30.67,Billed,Standard (3-5 Working Days),
#0008983,2901,Gymshark UK Shopify Store,26/04/2018,United Kingdom,37.8,0,37.8,31.5,Billed,Standard (3-5 Working Days),
#0013871,2901,Gymshark UK Shopify Store,23/07/2018,United Kingdom,43,0,43,35.83,Billed,Standard (3-5 Working Days),
#0010700,2901,Gymshark UK Shopify Store,19/11/2018,United Kingdom,65,0,65,54.16,Billed,Standard (2 Working Days),
#0004070,2902,Gymshark ROW Shopify Store,13/12/2017,United States,0,7.51,40.53,7.51,Closed,Standard (7-14 Working Days),
#0004070,2902,Gymshark ROW Shopify Store,13/12/2017,United States,33.02,7.51,40.53,40.53,Billed,Standard (7-14 Working Days),
#0003871,2904,Gymshark USA Shopify Store,05/12/2017,Canada,56.42,0,56.42,56.42,Billed,Standard (7-14 Working Days),
#0012530,2906,Gymshark USA Shopify Store,17/06/2016,United States,87.09,0,87.09,87.09,fulfilled,Shipping,
#0010867,2907,Gymshark USA Shopify Store,23/10/2017,Canada,63.64,0,63.64,63.64,Billed,Standard (7-14 Working Days),
#0001674,2907,Gymshark USA Shopify Store,20/11/2017,Canada,56.97,0,56.97,56.97,Billed,Standard (7-14 Working Days),
#0011662,2907,Gymshark CAN Shopify Store,13/02/2019,Canada,93.59,0,93.59,93.59,Billed,Standard (5-10 Working Days),
#0007456,2910,Gymshark USA Shopify Store,25/12/2018,United States,26.92,3.94,30.86,30.86,Billed,Standard (4-7 Working Days),AFSBUS10-DHRJ63
#0012853,2913,Gymshark UK Shopify Store,14/02/2018,United Kingdom,32,6,38,31.67,Billed,Next Working Day,
#0010980,2913,Gymshark UK Shopify Store,13/05/2019,United Kingdom,45,0,45,37.49,Billed,Standard (2 Working Days),AFUKSB10-P3D6Q6
#0001904,2919,Gymshark UK Shopify Store,14/09/2017,United Kingdom,60,0,60,50,Billed,Standard (3-5 Working Days),
#0011673,2919,Gymshark UK Shopify Store,01/01/2018,United Kingdom,0,4,5.01,3.33,Closed,Standard (3-5 Working Days),SAVE25
#0002180,2921,Gymshark UK Shopify Store,27/08/2017,United Kingdom,58,0,58,48.33,fulfilled,Standard (3-5 Working Days),
#0000003,2922,Gymshark USA Shopify Store,05/07/2015,United States,20.56,3.85,24.41,24.41,fulfilled,USA Standard Mail,
#0011727,2923,Gymshark UK Shopify Store,06/05/2018,United Kingdom,92,0,92,76.67,Billed,Standard (3-5 Working Days),
#0009733,2923,Gymshark UK Shopify Store,16/05/2018,United Kingdom,57.2,0,57.2,47.67,Billed,Standard (3-5 Working Days),
#0005903,2924,Gymshark ROW Shopify Store,15/03/2017,New Zealand,22.7,7.3,30,30,fulfilled,Standard (7-14 Working Days),
#0002326,2924,Gymshark ROW Shopify Store,12/04/2018,New Zealand,66.27,6.35,72.62,72.62,Billed,Standard (7-14 Working Days),
#0010317,2924,Gymshark ROW Shopify Store,15/05/2018,New Zealand,25.81,6.64,32.45,32.45,Billed,Standard (7-14 Working Days),
#0012101,2924,Gymshark AUS Shopify Store,13/11/2018,New Zealand,58.22,5.6,63.82,63.82,Billed,Standard (7-14 Working Days),
#0007291,2925,Gymshark USA Shopify Store,22/09/2018,United States,59.31,0,59.31,59.31,Billed,Standard (4-7 Working Days),SBSEPT10-66F5H5
#0000028,2925,Gymshark USA Shopify Store,19/11/2018,United States,102.36,0,102.36,102.36,Billed,Standard (4-7 Working Days),AFSBUS10-MZZ9JG
#0007030,2925,Gymshark USA Shopify Store,15/05/2019,United States,87.5,0,87.5,87.5,Billed,Standard (4-7 Working Days),AFUSSB10-2YB5J3
#0003348,2926,Gymshark USA Shopify Store,12/04/2018,United States,115.62,0,115.62,115.62,Billed,Failed Shipment Mapping,AF90SAVE
#0003791,2926,Gymshark USA Shopify Store,22/06/2018,United States,233.98,0,233.98,233.98,Billed,Failed Shipment Mapping,AF90SAVE
#0005448,2926,Gymshark USA Shopify Store,02/07/2018,United States,130.83,0,130.83,130.83,Billed,Failed Shipment Mapping,
#0004542,2926,Gymshark USA Shopify Store,23/03/2019,United States,64.69,0,64.69,64.69,Billed,Standard (4-7 Working Days),
#0007326,2927,Gymshark UK Shopify Store,14/05/2016,United Kingdom,28.5,2.49,30.99,25.83,fulfilled,Shipping,
#0005463,2929,Gymshark USA Shopify Store,19/11/2018,United States,10.52,3.9,14.42,14.42,Billed,Standard (4-7 Working Days),
#0009033,2933,Gymshark USA Shopify Store,03/03/2019,United States,71.93,0,71.93,71.93,Billed,Standard (4-7 Working Days),AFUSNCHON
#0011069,2933,Gymshark USA Shopify Store,12/03/2019,United States,81.74,0,81.74,81.74,Billed,Standard (4-7 Working Days),AFSBUS10-MURGWM
#0013509,2933,Gymshark USA Shopify Store,28/03/2019,United States,0,0,0,0.01,Billed,Standard (4-7 Working Days),
#0008414,2933,Gymshark USA Shopify Store,03/04/2019,United States,109.58,0,109.58,109.58,Billed,Standard (4-7 Working Days),AFUSSB10-WH6CZG
#0011366,2934,Gymshark AUS Shopify Store,13/11/2018,Australia,47.04,11.2,58.24,52.94,Billed,Express (2-4 Working Days),
#0001645,2937,Gymshark USA Shopify Store,05/05/2018,United States,124.12,0,124.12,124.12,Billed,Failed Shipment Mapping,
#0000746,2937,Gymshark USA Shopify Store,02/06/2018,United States,100.38,0,100.38,100.38,Billed,Standard (7-14 Working Days),
#0003533,2937,Gymshark USA Shopify Store,24/06/2018,United States,61.85,0,61.85,61.85,Billed,Standard (7-14 Working Days),
#0008032,2937,Gymshark USA Shopify Store,09/10/2018,United States,60.98,0,60.98,60.98,Billed,Standard (4-7 Working Days),
#0003065,2937,Gymshark USA Shopify Store,19/11/2018,United States,80.01,0,80.01,80.01,Billed,Standard (4-7 Working Days),
#0004969,2937,Gymshark USA Shopify Store,16/12/2018,United States,103.28,11.92,115.2,115.2,Billed,Express (1-3 Working Days),
#0010069,2937,Gymshark USA Shopify Store,31/03/2019,United States,84.39,0,84.39,84.39,Billed,Standard (4-7 Working Days),AFUSECHON
#0009191,2938,Gymshark EU Shopify Store,11/11/2016,Germany,74.78,0,74.78,62.84,fulfilled,Standard (3-5 Working Days),
#0001474,2939,Gymshark USA Shopify Store,27/10/2016,United States,30.69,8.08,38.77,38.77,fulfilled,Standard,
#0007171,2940,Gymshark UK Shopify Store,16/12/2018,United Kingdom,30,4,34,28.33,Billed,Standard (2 Working Days),
#0008784,2940,Gymshark UK Shopify Store,16/12/2018,United Kingdom,40,0,40,33.33,Billed,Standard (2 Working Days),
#0004658,2940,Gymshark UK Shopify Store,25/01/2019,United Kingdom,85,0,85,70.83,Billed,Next Working Day,
#0000210,2940,Gymshark UK Shopify Store,27/01/2019,United Kingdom,65,0,65,54.16,Billed,Next Working Day,
#0014131,2940,Gymshark UK Shopify Store,03/02/2019,United Kingdom,85,0,85,70.83,Billed,Next Working Day,
#0011465,2940,Gymshark UK Shopify Store,28/02/2019,United Kingdom,135,0,135,112.5,Billed,Next Working Day,
#0004176,2940,Gymshark UK Shopify Store,02/03/2019,United Kingdom,67,0,67,55.83,Billed,Next Working Day,
#0006456,2940,Gymshark UK Shopify Store,09/05/2019,United Kingdom,70,0,70,58.33,Billed,Next Working Day,
#0003873,2941,Gymshark USA Shopify Store,24/11/2018,United States,50.31,3.88,54.19,54.19,Billed,Standard (4-7 Working Days),
#0009862,2943,Gymshark USA Shopify Store,14/12/2018,United States,51.47,3.96,55.43,55.43,Billed,Standard (4-7 Working Days),
#0012163,2947,Gymshark IE Shopify Store,23/04/2019,Ireland,121.29,0,121.29,98.62,Billed,Standard (2-3 Working Days),
#0005205,2947,Gymshark IE Shopify Store,17/05/2019,Ireland,43.69,0,43.69,35.52,Billed,Standard (2-3 Working Days),
#0006087,2948,Gymshark UK Shopify Store,31/01/2018,United Kingdom,64,0,64,53.34,Billed,Standard (3-5 Working Days),
#0009726,2948,Gymshark UK Shopify Store,31/01/2018,United Kingdom,36,6,42,35,Billed,Next Working Day,
#0002403,2948,Gymshark UK Shopify Store,23/03/2018,United Kingdom,39,0,39,32.5,Billed,Standard (3-5 Working Days),
#0010079,2948,Gymshark UK Shopify Store,25/01/2019,United Kingdom,75,0,75,62.5,Billed,Next Working Day,
#0005665,2949,Gymshark UK Shopify Store,24/09/2015,United Kingdom,20.49,2.49,22.98,19.15,fulfilled,Shipping,
#0002785,2952,Gymshark UK Shopify Store,20/11/2018,United Kingdom,48,0,48,40,Billed,Standard (2 Working Days),
#0010586,2955,Gymshark FIN Shopify Store,01/05/2019,Finland,176.31,0,176.31,142.18,Billed,Standard (4-7 Working Days),
#0012220,2957,Gymshark UK Shopify Store,02/06/2017,United Kingdom,30,6,36,30,fulfilled,Next Working Day,
#0008542,2957,Gymshark UK Shopify Store,19/12/2018,United Kingdom,43,0,43,35.83,Billed,Next Working Day,
#0002382,2960,Gymshark USA Shopify Store,31/01/2019,United States,15.23,3.81,19.04,19.04,Billed,Standard (4-7 Working Days),
#0001986,2960,Gymshark USA Shopify Store,09/04/2019,United States,11.49,3.83,15.32,15.32,Billed,Standard (4-7 Working Days),
#0012020,2962,Gymshark USA Shopify Store,02/07/2018,United States,66.33,0,66.33,66.33,Billed,Standard (7-14 Working Days),
#0013155,2963,Gymshark USA Shopify Store,23/11/2018,United States,39.67,3.88,43.55,43.55,Billed,Standard (4-7 Working Days),
#0014038,2964,Gymshark USA Shopify Store,06/04/2017,United States,30.11,7.92,38.04,38.04,Unfulfilled,Standard (7-14 Working Days),
#0001087,2964,Gymshark USA Shopify Store,05/07/2017,United States,58.91,0,58.91,58.91,fulfilled,Standard (7-14 Working Days),
#0009447,2964,Gymshark USA Shopify Store,07/09/2018,United States,26.46,7.74,34.2,34.2,Billed,Standard (7-14 Working Days),SBUS10-HGRW95
#0006173,2964,Gymshark USA Shopify Store,19/11/2018,United States,33.34,3.9,37.24,37.24,Billed,Standard (4-7 Working Days),
#0003590,2964,Gymshark USA Shopify Store,02/02/2019,United States,29.43,3.82,33.25,33.25,Billed,Standard (4-7 Working Days),
#0008161,2965,Gymshark USA Shopify Store,30/06/2015,United States,5.77,3.85,9.62,9.62,fulfilled,USA Express Tracked Shipping,
#0012412,2966,Gymshark UK Shopify Store,26/12/2017,United Kingdom,34,6,40,33.33,Billed,Next Working Day,
#0010721,2968,Gymshark NOR Shopify Store,21/11/2018,Norway,26.05,3.31,29.36,24.06,Billed,Standard (3-5 Working Days),
#0000900,2970,Gymshark FRA Shopify Store,23/04/2019,France,47.65,0,47.65,39.71,Billed,Standard (2-3 Working Days),
#0008294,2971,Gymshark NOR Shopify Store,06/01/2019,Norway,50.62,4.13,54.74,44.85,Billed,Standard (3-5 Working Days),
#0010130,2972,Gymshark EU Shopify Store,03/07/2018,Austria,117.98,0,117.98,98.33,Billed,Standard (3-5 Working Days),
#0004008,2979,Gymshark UK Shopify Store,20/04/2018,United Kingdom,45,0,45,37.5,Billed,Standard (3-5 Working Days),SBUK10-27CR43
#0008948,2979,Gymshark UK Shopify Store,11/12/2018,United Kingdom,40,0,40,33.34,Billed,Standard (2 Working Days),
#0005854,2981,Gymshark FRA Shopify Store,22/10/2017,France,67.86,0,67.86,56.56,Billed,Standard (3-5 Working Days),
#0007844,2983,Gymshark FRA Shopify Store,26/01/2018,France,105.12,0,105.12,87.6,Billed,Standard (3-5 Working Days),
#0013930,2986,Gymshark EU Shopify Store,19/11/2016,Italy,29.57,7.83,37.39,31.16,fulfilled,Standard (3-5 Working Days),
#0006589,2989,Gymshark FIN Shopify Store,02/12/2018,Finland,88.78,0,88.78,71.6,Billed,Standard (4-7 Working Days),
#0009010,2989,Gymshark FIN Shopify Store,22/12/2018,Finland,139.44,0,139.44,112.45,Billed,Standard (4-7 Working Days),
#0013113,2990,Gymshark USA Shopify Store,26/04/2018,United States,25.81,7.17,32.98,32.98,Billed,Standard (7-14 Working Days),
#0004483,2991,Gymshark EU Shopify Store,24/06/2017,Switzerland,179.79,0,179.79,179.79,fulfilled,Standard (3-5 Working Days),
#0003372,2991,Gymshark EU Shopify Store,15/09/2017,Switzerland,76.46,0,76.46,76.46,Billed,Standard (3-5 Working Days),
#0006239,2991,Gymshark EU Shopify Store,27/09/2017,Switzerland,73.7,0,73.7,73.7,Billed,Standard (3-5 Working Days),
#0009578,2991,Gymshark EU Shopify Store,05/11/2017,Switzerland,170.47,0,170.47,170.47,Billed,Standard (3-5 Working Days),
#0014063,2995,Gymshark UK Shopify Store,30/05/2017,United Kingdom,48,0,48,40,fulfilled,Standard (3-5 Working Days),
#0004088,2996,Gymshark UK Shopify Store,24/02/2019,United Kingdom,50,0,50,41.67,Billed,Next Working Day,
#0009057,2998,Gymshark UK Shopify Store,25/02/2015,Germany,24.99,5.99,30.98,26.03,fulfilled,Express Tracked German Shipping,
#0009741,2999,Gymshark USA Shopify Store,20/11/2018,United States,120.31,0,120.31,120.31,Billed,Standard (4-7 Working Days),
#0004986,3000,Gymshark UK Shopify Store,08/11/2016,United Kingdom,98.8,0,98.8,82.33,fulfilled,Standard (3-5 Working Days),SAVEFIVE
#0003154,3000,Gymshark UK Shopify Store,23/10/2018,United Kingdom,60.3,0,60.3,50.26,Billed,Next Working Day,SBAUG10-DDRT9H
#0001513,3001,Gymshark AUS Shopify Store,11/06/2018,Australia,150.11,0,150.11,150.11,Billed,Express (2-4 Working Days),SH4RK27
#0011193,3002,Gymshark ROW Shopify Store,23/11/2017,Singapore,69.63,6.75,76.38,76.38,Billed,Standard (7-14 Working Days),
#0014122,3002,Gymshark ROW Shopify Store,23/11/2017,Singapore,69.63,6.75,76.38,76.38,Billed,Standard (7-14 Working Days),
#0011193,3002,Gymshark ROW Shopify Store,23/11/2017,Singapore,0,6.75,76.38,6.75,Closed,Standard (7-14 Working Days),
#0014122,3002,Gymshark ROW Shopify Store,23/11/2017,Singapore,0,6.75,76.38,6.75,Closed,Standard (7-14 Working Days),
#0004005,3003,Gymshark DE Shopify Store,06/05/2019,Germany,63.9,0,63.9,53.7,Billed,Standard (2-3 Working Days),
#0003378,3006,Gymshark USA Shopify Store,22/04/2018,United States,55.23,0,55.23,55.23,Billed,Standard (7-14 Working Days),SBUS10-C2FGSH
#0005621,3007,Gymshark UK Shopify Store,27/07/2015,United Kingdom,20.69,2.99,23.68,19.73,fulfilled,UK Standard Mail,LAINEY10
#0003796,3007,Gymshark UK Shopify Store,17/01/2016,United Kingdom,63.57,0,63.57,52.98,fulfilled,Shipping,
#0004577,3007,Gymshark UK Shopify Store,18/05/2016,United Kingdom,55.07,0,55.07,45.89,fulfilled,Shipping,
#0012765,3007,Gymshark UK Shopify Store,11/08/2016,United Kingdom,30.67,3.33,34,28.33,fulfilled,Shipping,
#0012118,3007,Gymshark UK Shopify Store,17/07/2018,United Kingdom,55.8,0,55.8,46.5,Billed,Standard (3-5 Working Days),PARTJULY65
#0005521,3009,Gymshark USA Shopify Store,05/10/2017,United States,92.14,0,92.14,92.14,Billed,Standard (7-14 Working Days),
#0013088,3010,Gymshark UK Shopify Store,13/02/2016,United Kingdom,25.07,2.5,27.57,22.98,fulfilled,Shipping,
#0000557,3010,Gymshark UK Shopify Store,27/11/2016,United Kingdom,49.8,0,49.8,41.5,fulfilled,Standard (3-5 Working Days),
#0002166,3010,Gymshark UK Shopify Store,28/11/2016,United Kingdom,50.4,0,50.4,42,fulfilled,Standard (3-5 Working Days),
#0005466,3010,Gymshark UK Shopify Store,07/01/2017,United Kingdom,0,0,0,0,fulfilled,Standard (3-5 Working Days),CUSTOM DISCOUNT
#0006133,3013,Gymshark UK Shopify Store,06/05/2019,United Kingdom,40,0,40,33.33,Billed,Standard (2 Working Days),
#0005857,3014,Gymshark USA Shopify Store,13/02/2016,United States,104.92,0,104.92,104.92,fulfilled,Shipping,
#0007972,3014,Gymshark USA Shopify Store,28/03/2019,United States,79.61,0,79.61,79.61,Billed,Standard (4-7 Working Days),
#0003540,3014,Gymshark USA Shopify Store,04/04/2019,United States,41.75,11.39,53.14,53.14,Billed,Express (1-3 Working Days),
#0012269,3015,Gymshark USA Shopify Store,21/03/2019,United States,27.24,3.78,31.02,31.02,Billed,Standard (4-7 Working Days),AFUSSB10-M2E5NH
#0003147,3020,Gymshark UK Shopify Store,01/05/2016,United Kingdom,136,0,136,113.33,fulfilled,Shipping,
#0010917,3020,Gymshark UK Shopify Store,15/06/2016,United Kingdom,228.14,0,228.14,190.12,fulfilled,Shipping,
#0002236,3020,Gymshark UK Shopify Store,13/07/2016,United Kingdom,102.6,0,102.6,85.5,fulfilled,Shipping,
#0006488,3020,Gymshark UK Shopify Store,14/11/2016,United Kingdom,34,4,38,31.67,fulfilled,Standard (3-5 Working Days),
#0005540,3020,Gymshark UK Shopify Store,10/01/2017,United Kingdom,120.32,0,120.32,100.27,fulfilled,Standard (3-5 Working Days),GSCLOUD
#0000276,3023,Gymshark UK Shopify Store,25/10/2016,United Kingdom,76,0,76,63.33,fulfilled,Standard (3-5 Working Days),
#0013857,3024,Gymshark USA Shopify Store,11/12/2018,United States,87.48,11.93,99.41,99.41,Billed,Express (1-3 Working Days),
#0011940,3026,Gymshark USA Shopify Store,16/09/2015,Finland,21.02,6.51,27.53,22.2,fulfilled,Shipping,
#0007582,3026,Gymshark USA Shopify Store,28/11/2015,Finland,27.81,6.57,34.38,27.73,fulfilled,Shipping,
#0011168,3028,Gymshark USA Shopify Store,19/11/2018,United States,13.63,3.9,17.53,17.53,Billed,Standard (4-7 Working Days),
#0013976,3028,Gymshark USA Shopify Store,19/11/2018,United States,15.58,3.9,19.48,19.48,Billed,Standard (4-7 Working Days),
#0009056,3029,Gymshark UK Shopify Store,05/12/2016,United Kingdom,20,4,24,20,fulfilled,Standard (3-5 Working Days),
#0005999,3033,Gymshark FRA Shopify Store,22/06/2018,France,47.28,0,47.28,39.4,Billed,Standard (3-5 Working Days),
#0011235,3036,Gymshark USA Shopify Store,14/07/2016,United States,40.3,7.6,47.9,47.9,fulfilled,Shipping,
#0013870,3038,Gymshark ROW Shopify Store,13/04/2017,United States,19.26,7.92,27.18,27.18,fulfilled,Standard (7-14 Working Days),ROWWELCOME-82FF36CS
#0013448,3038,Gymshark ROW Shopify Store,19/05/2017,United States,27.84,7.73,35.58,35.58,fulfilled,Standard (7-14 Working Days),ROWWELCOME-A2DC8S8F
#0002356,3039,Gymshark EU Shopify Store,15/02/2018,Ireland,77.88,0,77.88,63.32,Billed,Standard (7-14 Working Days),
#0010060,3041,Gymshark USA Shopify Store,05/10/2018,United States,49.48,3.84,53.32,24.28,Closed,Standard (4-7 Working Days),
#0001432,3046,Gymshark UK Shopify Store,25/05/2017,United Kingdom,72,0,72,60,fulfilled,Standard (3-5 Working Days),UKWELCOME-T8773A23
#0005767,3046,Gymshark UK Shopify Store,03/04/2018,United Kingdom,42,0,42,35,Billed,Standard (3-5 Working Days),
#0007156,3046,Gymshark UK Shopify Store,04/04/2018,United Kingdom,54,0,54,45,Billed,Standard (3-5 Working Days),SBUK10-TAJBGX
#0003463,3046,Gymshark UK Shopify Store,26/04/2018,United Kingdom,203.4,0,203.4,169.5,Billed,Standard (3-5 Working Days),SBUK10-Q2RDCT
#0004763,3046,Gymshark UK Shopify Store,21/05/2018,United Kingdom,54,0,54,45,Billed,Standard (3-5 Working Days),SBUK10-4RRJ7W
#0011103,3048,Gymshark EU Shopify Store,02/07/2018,Belgium,39.8,7.96,47.76,39.47,Billed,Standard (3-5 Working Days),
#0004493,3049,Gymshark UK Shopify Store,05/03/2019,United Kingdom,35,0,35,29.17,Billed,Standard (2 Working Days),
#0011137,3050,Gymshark USA Shopify Store,20/11/2017,United States,25.46,7.58,33.04,33.04,Billed,Standard (7-14 Working Days),
#0004342,3050,Gymshark USA Shopify Store,14/12/2017,United States,34.83,7.44,42.27,42.27,Billed,Standard (7-14 Working Days),
#0002477,3050,Gymshark USA Shopify Store,02/07/2018,United States,61.48,0,61.48,61.48,Billed,Standard (7-14 Working Days),SBUS10-WC6JAX
#0009909,7739,Gymshark EU Shopify Store,26/12/2016,Germany,79.38,0,79.38,66.7,fulfilled,Express (1-2 Working Days),
#0001541,7739,Gymshark EU Shopify Store,14/02/2017,Germany,34.14,7.68,41.82,35.14,fulfilled,Standard (3-5 Working Days),
#0013859,7739,Gymshark EU Shopify Store,10/04/2017,Germany,117.85,0,117.85,99.03,fulfilled,Standard (3-5 Working Days),
#0003342,7739,Gymshark DE Shopify Store,21/05/2017,Germany,29.05,7.69,36.73,30.87,fulfilled,Standard (3-5 Working Days),
#0004075,7739,Gymshark DE Shopify Store,24/11/2017,Germany,39.08,7.98,47.06,39.55,Billed,Standard (3-5 Working Days),
#0006820,7740,Gymshark USA Shopify Store,06/08/2017,United States,30.53,7.71,38.25,38.25,fulfilled,Standard (7-14 Working Days),USWELCOME-C8S7CBCS
#0002016,7742,Gymshark USA Shopify Store,17/05/2017,United States,30.94,11.6,42.54,42.54,fulfilled,Express (1-2 Working Days),
#0000691,7742,Gymshark USA Shopify Store,21/08/2018,United States,31.38,11.77,43.15,43.15,Billed,Failed Shipment Mapping,
#0010116,7744,Gymshark DE Shopify Store,19/03/2019,Germany,42.32,4.27,46.59,39.15,Billed,Standard (2-3 Working Days),AFSBDE-CJR8HN
#0011043,7746,Gymshark USA Shopify Store,25/05/2017,United States,74.25,0,74.25,74.25,fulfilled,Standard (7-14 Working Days),
#0006003,7747,Gymshark USA Shopify Store,23/07/2018,United States,56.34,11.42,67.76,67.76,Billed,Failed Shipment Mapping,
#0007373,7748,Gymshark FRA Shopify Store,15/02/2018,France,18.67,4.45,23.12,19.27,Billed,Standard (3-5 Working Days),
#0013508,7748,Gymshark FRA Shopify Store,19/11/2018,France,17.77,4.45,22.22,18.52,Billed,Standard (2-3 Working Days),
#0005572,7749,Gymshark UK Shopify Store,25/02/2019,United Kingdom,50,0,50,41.67,Billed,Next Working Day,
#0008643,7751,Gymshark UK Shopify Store,15/11/2018,United Kingdom,50,0,50,41.67,Billed,Next Working Day,
#0002385,7752,Gymshark DE Shopify Store,29/11/2017,Germany,42.58,7.97,50.55,42.48,Billed,Standard (3-5 Working Days),
#0004806,7752,Gymshark DE Shopify Store,30/01/2018,Germany,38.07,7.92,45.99,38.65,Billed,Standard (3-5 Working Days),AFGUTSCHEINE10
#0000851,7755,Gymshark USA Shopify Store,12/04/2019,United States,26.78,3.83,30.61,30.61,Billed,Standard (4-7 Working Days),
#0007102,7755,Gymshark USA Shopify Store,19/04/2019,United States,34.63,3.85,38.48,38.48,Billed,Standard (4-7 Working Days),
#0002037,7757,Gymshark USA Shopify Store,27/11/2017,United States,15.77,7.51,23.28,23.28,Billed,Standard (7-14 Working Days),
#0001301,7758,Gymshark USA Shopify Store,29/05/2015,United States,58.25,3.88,62.13,62.13,fulfilled,USA Express Tracked Shipping,LOA10
#0006296,7760,Gymshark USA Shopify Store,24/11/2018,United States,37.76,3.9,41.66,41.66,Billed,Standard (4-7 Working Days),
#0010388,7763,Gymshark IE Shopify Store,28/10/2018,Ireland,96.52,0,96.52,78.49,Billed,Standard (2-3 Working Days),
#0009134,7763,Gymshark IE Shopify Store,02/11/2018,Ireland,68.62,0,68.62,55.79,Billed,Standard (2-3 Working Days),
#0013713,7764,Gymshark UK Shopify Store,20/11/2018,United Kingdom,15,4,19,15.83,Billed,Standard (2 Working Days),
#0013518,7764,Gymshark UK Shopify Store,05/01/2019,United Kingdom,42,0,42,35,Billed,Standard (2 Working Days),
#0000305,7764,Gymshark UK Shopify Store,30/01/2019,United Kingdom,25,4,29,24.16,Billed,Standard (2 Working Days),
#0004556,7766,Gymshark DE Shopify Store,13/03/2018,Germany,41.72,4.44,46.16,38.78,Billed,Standard (3-5 Working Days),
#0013708,7767,Gymshark UK Shopify Store,15/06/2018,United Kingdom,34.2,6,40.2,33.5,Billed,Next Working Day,SBUK10-VJX2JS
#0006784,7767,Gymshark UK Shopify Store,30/08/2018,United Kingdom,168.3,0,168.3,140.26,Billed,Next Working Day,SBUK10-PRCFRR
#0004222,7767,Gymshark UK Shopify Store,04/11/2018,Jersey,224.1,8,232.1,232.1,Billed,Express (1-2 Working Days),SBAUG10-632WQ2
#0007961,7768,Gymshark USA Shopify Store,29/11/2016,Canada,28.15,8.04,36.2,36.2,fulfilled,Standard (7-14 Working Days),
#0007358,7769,Gymshark EU Shopify Store,06/10/2017,Switzerland,35.65,8.04,43.69,43.69,Billed,Standard (3-5 Working Days),35AFF
#0005774,7770,Gymshark DE Shopify Store,11/01/2018,Germany,72.63,0,72.63,61.03,Billed,Standard (3-5 Working Days),
#0009186,7771,Gymshark UK Shopify Store,24/06/2015,United Kingdom,67.97,0,67.97,56.64,fulfilled,Royal Mail Tracked 48,
#0013866,7771,Gymshark UK Shopify Store,08/08/2015,United Kingdom,23.37,5.99,29.36,24.47,fulfilled,UK DPD Next Working Day,LEX10
#0007587,7771,Gymshark UK Shopify Store,10/09/2015,United Kingdom,25.57,5,30.57,25.48,fulfilled,Shipping,
#0004368,7771,Gymshark UK Shopify Store,21/09/2015,United Kingdom,25.57,5,30.57,25.48,fulfilled,Shipping,
#0006763,7771,Gymshark UK Shopify Store,30/10/2015,United Kingdom,68.81,5,73.81,61.51,fulfilled,Shipping,
#0001002,7771,Gymshark UK Shopify Store,06/03/2016,United Kingdom,24.6,4.99,29.59,24.66,fulfilled,Shipping,
#0012919,7771,Gymshark UK Shopify Store,07/04/2016,United Kingdom,30.89,4.99,35.88,29.9,fulfilled,Shipping,
